paper,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
R220303,83,115,31,51,51,83,64
R220314,66,93,28,39,39,66,59
R220323,78,110,32,46,46,78,65
R220343,82,115,33,49,49,82,66
R220354,87,120,31,54,54,87,65
R220364,84,118,35,50,50,84,72
R220371,66,90,25,42,42,66,58
R220378,48,68,21,28,28,48,41
R220383,68,94,27,42,42,68,57
R220388,44,62,19,26,26,44,37
R220390,79,109,30,49,49,79,58
R220538,174,256,59,92,92,174,65
R220583,112,159,41,65,65,112,60
R220605,71,98,28,44,44,71,64
R220611,68,94,26,42,42,68,57
R220618,65,90,26,40,40,65,57
R220624,53,75,22,31,31,53,41
R220629,51,71,21,31,31,51,41
R220633,89,125,36,53,53,89,67
R220643,88,125,33,51,51,88,59
R220798,65,93,27,37,37,65,41
R220810,100,139,33,61,61,100,57
R220823,65,91,23,39,39,65,37
R220831,78,105,28,51,51,78,65
R220838,64,88,25,40,40,64,57
R220845,89,124,33,54,54,89,60
R220858,102,141,33,63,63,102,58
R220874,69,95,27,43,43,69,59
R220881,87,123,36,51,51,87,61
R220892,49,67,19,31,31,49,37
R220898,93,131,36,55,55,93,67
R221137,69,96,27,42,42,69,57
R221147,72,99,27,45,45,72,58
R221156,67,92,26,42,42,67,57
R221163,67,91,25,43,43,67,58
R221169,68,94,24,42,42,68,41
R221176,74,101,28,47,47,74,65
R221183,64,88,25,40,40,64,57
R221187,69,94,26,44,44,69,58
R221801,93,136,36,50,50,93,58
R221821,109,162,47,56,56,109,65
R221838,48,68,21,28,28,48,41
R222366,63,87,25,39,39,63,57
R222372,50,68,19,32,32,50,37
R222375,85,120,33,50,50,85,60
R225574,65,89,25,41,41,65,57
R225580,87,124,33,50,50,87,58
R225589,78,108,30,48,48,78,64
R227465,80,113,33,47,47,80,66
R227482,64,94,30,34,34,64,41
R227501,65,90,26,40,40,65,58
R227514,93,134,41,52,52,93,67
R227533,88,124,36,52,52,88,65
R227551,71,99,28,43,43,71,57
R228189,116,172,46,60,60,116,63
R228211,79,109,29,49,49,79,58
R228222,43,61,19,25,25,43,36
R228229,80,112,31,48,48,80,57
R228262,90,126,36,54,54,90,64
R229273,96,138,39,54,54,96,64
R229316,80,111,31,49,49,80,63
R229340,76,107,31,45,45,76,57
R229369,44,62,19,26,26,44,36
R229375,74,104,30,44,44,74,57
R249016,66,91,26,41,41,66,58
R249021,70,96,27,44,44,70,58
R249030,99,141,38,57,57,99,64
R254495,78,110,32,46,46,78,58
R254508,81,116,35,46,46,81,57
R254521,59,83,24,35,35,59,41
R256580,83,114,30,52,52,83,58
R263000,62,86,25,38,38,62,56
R264011,62,86,25,38,38,62,56
R265006,90,124,32,56,56,90,58
R265019,86,120,33,52,52,86,60
R265028,44,62,19,26,26,44,37
R276000,49,69,21,29,29,49,40
R276005,45,63,19,27,27,45,36
R276009,63,87,25,39,39,63,56
R276015,62,86,25,38,38,62,56
R276020,43,61,19,25,25,43,36
R276024,66,92,27,40,40,66,57
R276031,99,138,36,60,60,99,63
R276045,64,88,25,40,40,64,56
R276051,90,127,36,53,53,90,66
R276059,46,64,19,28,28,46,36
R279079,76,107,32,45,45,76,64
R279086,121,177,45,65,65,121,65
R279109,74,101,28,47,47,74,65
R279116,72,100,28,44,44,72,57
R279126,64,89,26,39,39,64,57
R279133,48,66,19,30,30,48,37
R279136,48,68,21,28,28,48,41
R279141,84,117,32,51,51,84,57
R279151,52,74,23,30,30,52,42
R279158,47,65,19,29,29,47,37
R280299,46,64,19,28,28,46,37
R280303,44,62,19,26,26,44,37
R280308,46,64,19,28,28,46,37
R280317,45,63,19,27,27,45,37
R280329,65,89,25,41,41,65,57
R280335,92,130,35,54,54,92,58
R280347,72,102,31,42,42,72,58
R280375,76,106,29,46,46,76,57
R280412,66,90,25,42,42,66,57
R280448,45,63,19,27,27,45,37
R280481,76,106,29,46,46,76,57
R280486,71,99,29,43,43,71,64
R280498,91,127,32,55,55,91,60
R280511,80,112,30,48,48,80,57
R280521,65,89,25,41,41,65,57
R280526,44,62,19,26,26,44,37
R280529,48,68,21,28,28,48,41
R280738,72,101,30,43,43,72,64
R280747,65,90,26,40,40,65,57
R280754,66,91,26,41,41,66,58
R280758,64,88,25,40,40,64,57
R280765,118,173,45,63,63,118,64
R280785,45,63,19,27,27,45,37
R280789,44,62,19,26,26,44,37
R280793,51,71,21,31,31,51,41
R280798,68,94,27,42,42,68,58
R280811,63,87,25,39,39,63,57
R280818,64,89,26,39,39,64,58
R281162,54,74,21,34,34,54,42
R281166,65,89,25,41,41,65,58
R281172,112,156,36,68,68,112,57
R281188,75,103,29,47,47,75,65
R281194,105,153,42,57,57,105,64
R281210,65,89,25,41,41,65,58
R281215,46,64,19,28,28,46,37
R283066,53,71,19,35,35,53,37
R283069,65,90,26,40,40,65,57
R283077,51,73,23,29,29,51,42
R283080,68,97,30,39,39,68,59
R283089,46,64,19,28,28,46,37
R283092,47,65,19,29,29,47,37
R283095,44,62,19,26,26,44,37
R283098,67,91,25,43,43,67,57
R283106,69,95,26,43,43,69,57
R285771,66,92,27,40,40,66,59
R285776,63,87,25,39,39,63,57
R285781,80,111,30,49,49,80,58
R285790,90,130,37,50,50,90,58
R285805,44,62,19,26,26,44,37
R285808,49,69,21,29,29,49,41
R285813,45,63,19,27,27,45,37
R285816,68,95,28,41,41,68,57
R285826,45,63,19,27,27,45,37
R287812,66,92,27,40,40,66,57
R287825,88,123,32,53,53,88,57
R287836,77,106,29,48,48,77,63
R287845,66,91,26,41,41,66,58
R287851,81,116,35,46,46,81,59
R287863,74,104,29,44,44,74,57
R287873,72,101,30,43,43,72,64
R288432,66,91,26,41,41,66,57
R288440,44,62,19,26,26,44,37
R288443,51,71,21,31,31,51,42
R288450,44,62,19,26,26,44,37
R288453,63,87,25,39,39,63,57
R288460,64,89,26,39,39,64,57
R288476,64,88,25,40,40,64,57
R288482,43,61,19,25,25,43,37
R288485,79,109,29,49,49,79,57
R288494,89,126,33,52,52,89,58
R288507,66,90,25,42,42,66,57
R288513,55,75,21,35,35,55,42
R288742,81,116,35,46,46,81,59
R288764,67,95,29,39,39,67,59
R288766,65,90,26,40,40,65,57
R288783,49,69,21,29,29,49,41
R288794,47,65,19,29,29,47,37
R288798,47,65,19,29,29,47,37
R288801,67,91,25,43,43,67,58
R288808,65,91,27,39,39,65,58
R369142,73,102,30,44,44,73,64
R369238,80,112,33,48,48,80,67
R369339,81,116,35,46,46,81,57
R369483,73,103,30,43,43,73,57
R369602,49,69,21,29,29,49,41
R369685,72,103,32,41,41,72,58
R369715,46,64,19,28,28,46,37
R596003,72,102,31,42,42,72,64
R596015,61,90,30,32,32,61,41
R596028,70,98,29,42,42,70,60
R596037,47,67,21,27,27,47,40
R596045,64,90,27,38,38,64,57
R597081,65,91,27,39,39,65,57
R597102,46,66,21,26,26,46,37
R597176,63,88,26,38,38,63,57
R597183,47,67,21,27,27,47,37
R597186,48,69,22,27,27,48,41
R597383,49,71,23,27,27,49,37
R597386,48,69,22,27,27,48,41
R597394,42,60,19,24,24,42,36
R597400,57,83,27,31,31,57,42
R597409,68,96,29,40,40,68,58
R597880,47,68,22,26,26,47,40
R597889,48,69,22,27,27,48,41
R597910,66,95,30,37,37,66,57
R598064,51,72,22,30,30,51,37
R598067,67,94,28,40,40,67,57
R598083,42,60,19,24,24,42,36
R598217,44,63,20,25,25,44,37
R598220,45,63,19,27,27,45,36
R598223,50,72,23,28,28,50,41
R598230,70,99,28,41,41,70,56
R598244,44,63,20,25,25,44,37
R598249,44,63,20,25,25,44,37
R598274,62,87,26,37,37,62,57
R598281,43,61,19,25,25,43,36
R598284,72,102,31,42,42,72,64
R598496,67,96,30,38,38,67,57
R598506,50,73,24,27,27,50,41
R598583,43,62,20,24,24,43,37
R598586,66,94,29,38,38,66,57
R598595,45,63,19,27,27,45,36
R598598,63,88,26,38,38,63,57
R598606,62,87,26,37,37,62,56
R598614,66,92,27,40,40,66,58
R598631,64,89,26,39,39,64,56
R598694,67,96,30,38,38,67,57
R600479,67,95,29,39,39,67,57
R600488,44,62,19,26,26,44,36
R601221,66,94,29,38,38,66,57
